text,sentiment
"El caso de Sandra Cuevas ha llegado a su fin gracias a que la defensa ha optado por apegarse a las soluciones alternas previstas en el Código Nacional de Procedimientos Penales, con lo cual la Alcaldesa de Cuauhtémoc  se reincorpora a sus funciones publicas de manera normal.",NEU
"Sandra Cuevas, alcaldesa suspendida en Cuauhtémoc, asiste a audiencia en Reclusorio Norte.",NEU
"La OTAN ""nunca ha estado tan unida"" como ahora, afirma el presidente de EEUU, Joe Biden, en Bruselas.  url",NEG
"La Alcaldesa, Sandra Cuevas podría regresar a sus actividades, acuerdo reparatorio concluiría medidas cautelares.  url",NEU
"El fuego en el cerro del Tepozteco continúa. De acuerdo con el gobernador, el incendio fue provocado intencionalmente por un hombre y ha consumido al menos cien hectáreas.  url",NEG
"Profepa informó que fueron aseguradas 77 ejemplares: 13 cardenales, 13 centzontles, 3 clarines, 15 floricanos, 1 mirlo, 6 semilleros, 3 pinzones mexicanos, 14 siete colores, 6 canarios y 3 cotorras cuchas.  url",NEU
Momento vertiginoso en el que un camión se voltea 360 sobre una carretera de Texas durante un violento tornado  emoji tornado emoji   url,NEG
Un Tesla vuela por los aires en una calle de Los Ángeles y acaba estrellándose contra otros coches   url,NEU
Emilio Alvarez defiende a Sandra Cuevas: Sí hubo voto de castigo en la Alcaldía Cuauhtémoc   url,NEG
"El presidente de la Reserva Federal de EE.UU., Jerome Powell, reiteró que las criptodivisas exigen desarrollar nuevas regulaciones para reforzar la protección ante las ""preocupaciones potenciales para la estabilidad financiera"" en medio de su auge.  url",NEU
La UEFA confirmó que las federaciones de Rusia y Turquía han declarado su interés para organizar la Eurocopa de 2028 o la de 2032. La designación se hará en septiembre de 2023.,NEU
"La ciudad de Miami Beach ha decidido imponer un toque de queda nocturno este fin de semana para frenar una ola de violencia con armas de fuego durante el ""Spring Break"", las vacaciones de primavera que atraen cada año a miles de personas al sur del estado de Florida.  url",NEU
"""No menos, como a cinco"": Beatriz Gutiérrez hace broma sobre EPN y AMLO la desaprueba  url",NEG
"La Comisión de Salud Pública ha dado luz verde a la nueva estrategia que normalizará la covid a partir del próximo 28 de marzo, cuando se eliminarán los aislamientos de las personas asintomáticas y dejarán de hacerse pruebas con carácter general",NEU
"Esto dijo el gobernador Mauricio Kuri cerca del Areopuerto Internacional Felipe Ángeles ""AIFA"".  url",NEU
"Elon Musk, mostró su alegría en la inauguración de su ""megafábrica"" de autos eléctricos cerca de Berlín este martes  url",POS
"Se le acaba la ""gasolina"" a Daddy Yankee anuncia su retiro de la música tras 32 años de carrera con emotivo video, se despide de sus fans; dice que siempre trabajó para inspirar a los niños   url",NEU
"En el lugar y al verse su integridad en riesgo tuvieron que hacer maniobras para contener la amenaza"" dijo el Coordinador de Protección Civil de Humilpan, Salvador Oliva.",NEG
"El felino rompe el cerco de seguridad tornándose sumamente agresivo causando la muerte de un ovino y causando lesiones a un caballo, motivo por el cual el personal que se encontraba",NEG
"Autoridades matan a tigre capturado en Huimilpan para proteger a la ciudadanía.   Sin embargo, el felino al intentar evadirlos le dispararon con la intención de proteger a la ciudadanía.",NEG
Deportes:  Carlos Acevedo es convocado a la Selección Mexicana.  url,NEU
Sánchez logra el apoyo de Macron para reformar los precios de la energía.   url,NEU
AL MOMENTO:  Acuerdo político en UE para dar a Ucrania 500 millones más en apoyo militar.,NEU
"Demi Moore ""justdemi"" luce un elegante mono negro en el desfile de Saint Laurent en la Semana de la Moda de París  url",NEU
"Con la develación de placa, concluye así la inauguración del nuevo Aeropuerto Internacional Felipe Ángeles.  url",NEU
En 2 años y medio construimos un aeropuerto en Santa Lucía y resolvimos una necesidad fundamental para la región y para el país. Se hizo sin robar y sin mentirle al Pueblo.  AMLO  url,POS
"Despega el primer vuelo desde el AIFA en Santa Lucía, reporta 20 minutos de retraso  url",NEG
"Daddy-Yankee anuncia oficialmente su retiro ; ""al fin veo la meta""  ""Ustedes me dieron la llave para abrir las puertas y convertir este género en el más grande""  url",POS
"""Misión cumplida"", López Obrador sobre el nuevo AIFA  url",POS
Aerolínea china reporta muertos en accidente de avión con 132 personas a bordo.  url,NEU
"""Hice lo mejor que pude en las últimas semanas. Hoy se me hizo imposible"", Rafael Nadal.  url",NEG
"Petro instó a todos los partidos políticos rechazar la invitación al ""golpe de estado que ha hecho Uribe""  url",NEU
Louis Vuitton lanza zapatillas deportivas de  960 que se parecen mucho a un par de  14.99.  url,NEU
La FGJCDMX aclaró que la suspensión temporal del cargo a Sandra Cuevas como alcaldesa de Cuauhtémoc no implica una destitución.  url,NEU
El CEO de Facebook Mark Zuckerberg ha confirmado que los NFT van a llegar a Instagram.,NEU
Camionero afortunado de perder el tráfico y evitar lesiones graves después de estrellarse en la carretera  url,NEU
Así serán las nuevas medidas de seguridad en el Cuauhtémoc para el partido de hoy contra Santos.  url,NEU
"Baño de masas de Putin  El presidente ruso celebra anexión de Crimea y mantiene su retórica.   La Unión Europea mantiene la comunicación abierta con el mandatario ruso. De poco sirve, sentencia el periodista Ricardo Marquina.   url",NEU
"El presidente de Francia, Emmanuel Macron, pidió a su homólogo ruso, Vladímir Putin, medidas ""concretas y verificables"" sobre un levantamiento del cerco a Mariúpol, así como un alto el fuego inmediato y que se permita el acceso de la ayuda humanitaria.",NEU
"Ferrocarril ""El Chepe"" está en Altamira causa euforia en la zona. emoji tren emoji   url",NEU
"SISMO Magnitud 4.8 Loc  6 km al SUROESTE de ACAPULCO, GRO 18/03/22 13:53:51 Lat 16.85 Lon -99.95 Pf 22 km",NEG
"Se activa la alerta sísmica, favor de evacuar y resguardarse en un lugar seguro.",NEU
"No hay tal Tarifazo. No caigan en mentiras ni desinformación dice el Gobernador de Nuevo León, Samuel García.",NEG
"AMLO anuncia documental 'Una obra del pueblo' sobre construcción del AIFA  ""Es un homenaje a quienes construyeron el aeropuerto, una entrevista larga con el Presidente"", adelantó el productor Epigmenio Ibarra   url",POS
Hogwarts Legacy es un sueño para todos los fans de Harry Potter.   url,POS
"Tras determinar que el ejemplar contaba con un buen estado físico y no presentaba características de improntación, fue trasladado a una zona apta para su liberación.",NEU
La PROFEPA de Nuevo León informó que liberó un margay (Leopardus wiedii).  Los ciudadanos que realizaron el reporte señalaron que el ejemplar bajó de la sierra.  url,NEG
El Tribunal Constitucional de Perú aprueba liberar al expresidente Alberto Fujimori.  url,NEU
"Sandra Cuevas comparece en Reclusorio Norte. Afuera del reclusorio, ubicado en la alcaldía Gustavo A. Madero, afirmó que esto es una persecución política de la Jefa de Gobierno, ""una mujer que va en contra de otra mujer"".   url",NEG
"El presidente de Estados Unidos, Joe Biden, mantendrá este viernes una conversación telefónica con su homólogo chino, Xi Jinping, en la que tratarán la invasión de Ucrania por parte de Rusia, entre otros asuntos.  url",NEU
"""En unas horas no solamente se definirá el futuro jurídico de Sandra Cuevas, también si seguirá al frente de la alcaldía Cuauhtémoc"".",NEU
Estoy preparada para ir a prisión: Sandra Cuevas  url,NEU
"Mikel Arriola presidente de la LigaBBVAMX, advierte que el fin de las barras está próximo.  url",NEG
"El Banco Mundial alerta del ""estancamiento"" de la productividad en México",NEG
"Las utopí as de la @usuario tienen también un enfoque educativo, donde  siempre se pueden obtener nuevos conocimientos. Les invito a acudir a los Talleres de Astronomía y viajar a través del universo sin salir de iztapalapa.",NEU
Usar el cubrebocas correctamente reduce las probabilidades de contagiarte de covid19.   Póntelo siempre que salgas de casa o al entrar en contacto con otras personas.  emoji cara con mascarilla médica emoji   no bajes la guardia  url,NEU
"¿Sabes qué hacer en caso de un sismo? Considera las siguientes recomendaciones y, ante todo, conserva la calma y sigue las indicaciones de las brigadas de Protección Civil.  url",NEU
"Visibilizar la violencia que viven en sus diferentes entornos, previniendo temas relacionados al acoso escolar, violencia física o psicológica; así como fomentar el conocimiento de sus derechos y establecer estrategias para garantizar su cumplimiento efectivo.",NEU
"Prevención de todo tipo de violencia en contra de niñas, niñas y adolescentes.  Promoción de los derechos de las nna.  El objetivo es impulsar acciones que permitan igualar sus oportunidades de desarrollo;",NEU
"El sipinna trabajará por medio de las siguientes comisiones, en donde, a través de las actividades de las distintas áreas que conforman la @usuario, se priorizará en todo momento el interés superior de la niñez y adolescencia:  Primera infancia.",NEU
"Para garantizar los derechos de niñas, niños y adolescentes de iztapalapa e impulsar acciones y estrategias en favor de su sano crecimiento y desarrollo, este jueves llevamos a cabo la instalación del sipinna de la @usuario, el cual presido.  url",POS
Continúa atendiendo las medidas preventivas y usa siempre cubrebocas al salir de casa o entrar en contacto con otras personas.  no bajes la guardia  url,NEU
"En época de estiaje se incrementa el riesgo de incendios forestales  emoji fuego emoji  emoji fuego emoji , por lo que es importante conocer las medidas de prevención y seguridad  emoji dorso de mano con índice hacia abajo emoji  en caso de presentarse alguno. Para reporte de emergencias, llama a la @usuario 55 5445111 o a Base Esparta PC 55 54451178.  url",NEU
"En caso de algún desastre natural o afectaciones por el clima, la prevención hace la diferencia; ten siempre a la mano tu mochila de emergencia  emoji mochila escolar emoji , conoce aquí  emoji dorso de mano con índice hacia abajo emoji  lo que debe contener.  protección civil  url",NEU
"Con deporte y alternativas sanas de recreación y esparcimiento se transforma la vida de niñas, niños y jóvenes, y construimos la paz en iztapalapa.",POS
"Vayas donde vayas, usa cubrebocas.  no bajes la guardia y sigue atendiendo las medidas básicas de prevención.  url",NEU
"Corte de casos confirmados acumulados, activos y recuperados de covid19 en iztapalapa al martes 22 de marzo de 2022.   no bajes la guardia  url",NEU
Fomentamos el deporte comunitario como una foma de cuidado de la salud y para construir la paz en iztapalapa. ¡Acércate a las utopí as y conoce la oferta deportiva y cultual!,POS
Una dieta saludable y nutritiva  emoji tomate emoji  emoji verdura de hoja verde emoji  emoji zanahoria emoji  emoji berenjena emoji  emoji manzana roja emoji  emoji uvas emoji  emoji aguacate emoji  es fundamental para fortalecer tu sistema inmunológico y prevenir enfermedades como el covid19. toma nota de estas  emoji dorso de mano con índice hacia abajo emoji  recomendaciones:  no bajes la guardia  url,NEU
"Realicemos nuestras actividades con responsabilidad, por tu seguridad no olvides usar cubrebocas  emoji cara con mascarilla médica emoji  siempre que salgas de casa o al entrar en contacto con otras personas.  no bajes la guardia  url",NEU
"¡Una nueva primavera para nuestro país despega hoy! En el aniversario del natalicio de Benito Juárez, se inaugura el @usuario, magnífica obra de ingeniería del Ejército Mexicano que en su momento, con tu voto decidiste se llevara a cabo en Santa Lucía aifaorgullo nacional  url",POS
En las utopí as de la @usuario el deporte y la cultura están al alcance de todas y todos. ¡Visítalas!,POS
¡Día histórico para México!  aifaorgullo nacional,POS
"Con la participación de más de 3 mil mujeres se realizó ayer la vigésima edición de la carrera de la mujer. En la @usuario trabajamos por mujeres siempre vivas, libres, seguras, iguales y plenas. iztapalapa mujer   url",POS
El uso del cubrebocas  emoji cara con mascarilla médica emoji  sigue siendo básico para evitar contagiarte de covid19. ¡Úsalo siempre que salgas de casa!  no bajes la guardia  url,NEU
"En las utopí as construimos la paz en iztapalapa a través del deporte y la cultura. Ven y practica tu disciplina favorita, como judo, y cambiemos la nota roja por la nota deportiva.",POS
"Una fuga de gas en casa puede ser muy peligrosa  emoji advertencia emoji . toma nota de las siguientes recomendaciones en caso de detectar alguna. emoji dorso de mano con índice hacia abajo emoji  Para emergencias, llama a la @usuario 55 5445111 o a la Base Esparta PC 55 54451178. Recuerda que la protección civil la hacemos todas y todos.  url",NEU
"La XX carrera de la mujer iztapalapa 2022 se realiza en el marco de la conmemoración del 8 m día internacional de la mujer y representa la lucha de todas las mujeres, quienes debemos seguir alzando la voz contra todas las desigualdades.   iztapalapa mujer  url",NEU
"Felicito a las ganadoras de la XX carrera de la mujer: Roxana López Ramírez (Absoluta Iztapalapense) y Cindy Meza Domínguez (Absoluta Foránea), así como a las vencedoras en cada categoría y a todas las participantes.   ¡Son un gran ejemplo de esfuerzo, disciplina y compromiso!  url",POS
"Por mujeres siempre vivas, libres, seguras, iguales y plenas, ahora tenemos en la @usuario varias pistas de tartán para que las mujeres de iztapalapa puedan practicar atletismo, así como entrenar y prepararse para eventos como la XX carrera de la mujer.  url",POS
¡Un gran éxito la XX carrera de la mujer iztapalapa 2022! Más de 3 mil mujeres se dieron cita esta mañana para participar en ésta que será la primera de 6 carreras que realizaremos este año en la @usuario para garantizar el derecho al deporte y a la salud de la población.  url,POS
en vivo: Llevamos a cabo la entrega de medallas y premios a la ganadora absoluta y a las triunfadoras en las categorías Iztapalapense y Foránea de la XX carrera de la mujer iztapalapa 2022.  iztapalapa mujer día internacional de la mujer   url,POS
"en vivo  emoji círculo rojo grande emoji  emoji cámara de cine emoji : Por mujeres siempre libres, seguras, iguales y plenas, garantizamos su derecho a la salud y el deporte con la XX carrera de la mujer iztapalapa 2022.   ¡En sus marcas, listas... fuera! 🏃‍   url  url",NEU
Usar el cubrebocas correctamente reduce las probabilidades de contagiarte de covid19.   Póntelo siempre que salgas de casa o al entrar en contacto con otras personas.  emoji cara con mascarilla médica emoji   no bajes la guardia  url,NEU
"Tras varias mesas de trabajo con el @usuario y habiendo cambiado las condiciones respecto a los dos años anteriores, se decidió, de manera conjunta, dar un paso adelante y realizar la 179 representación de semana santa en iztapalapa de manera mixta. Conoce aquí  emoji dorso de mano con índice hacia abajo emoji  los detalles.  url",NEU
"En época de estiaje se incrementa el riesgo de incendios forestales  emoji fuego emoji  emoji fuego emoji , por lo que es importante conocer las medidas de prevención y seguridad  emoji dorso de mano con índice hacia abajo emoji  en caso de presentarse alguno. Para reporte de emergencias, llama a la @usuario 55 5445111 o a Base Esparta PC 55 54451178.  url",NEU
"Con deporte y cultura se transforma la vida de niñas, niños y jóvenes para construir la paz y la seguridad en iztapalapa. Eso son las utopí as.",POS
"toma nota de las vialidades que permanecerán cerradas el próximo domingo 20 de marzo, de 7 a 10 h, con motivo de la XX carrera de la mujer iztapalapa 2022. Si eres vecin@usuario de la zona, solicitamos tu apoyo para no estacionarte en la ruta de la carrera en el mismo horario.  url",NEU
"Si este fin de semana sales a pasear y divertirte, no olvides usar cubrebocas  emoji cara con mascarilla médica emoji .   Aunque ya tengas tu dosis de refuerzo  emoji jeringuilla emoji  es importante seguir respetando las medidas de prevención  emoji cara con mascarilla médica emoji  emoji bote de crema emoji .   no bajes la guardia  url",NEU
"¡Inscribe a tus hijas e hijos emoji niña tono de piel medio emoji  emoji niño tono de piel claro emoji de 4 a 8 años en la colmena de aprendizaje! emoji abeja emoji  Un espacio de cuidado después de clases en la utopía papalotl.  emoji cuaderno de notas emoji  Haz tu prerregistro de manera presencial de martes a viernes, de 15 a 19 h, o de forma virtual escaneando el QR de la imagen  emoji dorso de mano con índice hacia abajo emoji   url",NEU
"Habilitación de un andador central y una trotapista de tartán.  Parque para perros  Atención a las canchas.  Vegetación, entre otras.  En total, 12 mil m² de intervención para que la gente disfrute y se apropie de su espacio público. Estaremos informando los avances.  url",POS
"De esta forma, a partir de la próxima semana iniciarán las acciones por parte de la @usuario para la transformación del camellón de Josué Escobedo, las cuales contemplan:  Instalación de 70 luminarias.  Instalación de juegos infantiles y bancas luminosas.  url",NEU
"Cabe destacar que la Av. Josué Escobedo ya es un Camino mujeres libres yseguras, pero ahora toca transformar su camellón, desde Eje 6 hasta Plutarco Elías Calles, al igual que se realizará en todos los que estén bajo torres de luz, para que puedan ser disfrutados por la población.  url",POS
"Esta mañana recorrimos el camellón de Josué Escobedo que se ubica entre la col. progresista y la U.H. vicente guerrero, el cual, atendiendo una demanda muy sentida de la comunidad, será transformado para hacer efectivo el derecho ala ciudad de vecinas y vecinos de esta zona.  url",POS
Tras la activación de la alerta sísmica instalamos de forma inmediata el Gabinete de Protección Civil de la @usuario y se inicia protocolo de revisión de inmuebles. Atentos a sus reportes a través de la @usuario 55 5445111.,NEU
"¡qué no se te pase! Si te registraste para participar en la XX carrera de la mujer iztapalapa 2022, recuerda que mañana sábado 19 de marzo, de 9 a 18 h, se realizará la entrega de kits en el Kiosco del jardín cuitláhuac.   Acude con identificación oficial y acuse impreso y firmado.  url",NEU
"¡Todo está listo para la XX carrera de la mujer 2022! Te esperamos el próximo domingo 20 de marzo en el Corredor Aldama ubicado en Calle Porfirio Díaz esq. Calle Aldama, barrio san lucas a las 08:00 horas.  Entrega de kits sábado 19 de marzo, 9 a 18 h, kiosco jardín cuitláhuac.  url",POS
"Sigue cuidándote por ti y por todos tus seres queridos. Por seguridad, usa cubrebocas siempre al salir de casa.   no bajes la guardia  url",NEU
"Corte de casos confirmados acumulados, activos y recuperados de covid19 en iztapalapa al jueves 17 de marzo de 2022.   no bajes la guardia  url",NEU
"Beneficios en el pago del predial para personas mayores de 58 años, exención durante 3 meses del Impuesto sobre Nómina a micro y pequeños negocios durante los primeros 3 meses de operación y microcréditos a micronegocios, son algunos de ellos.  url",NEU
"Para impulsar la reactivación económica de la ciudad tras la pandemia, y apoyar la economía popular, la de las familias y micronegocios, la jefa de Gobierno @usuario anunció ayer importantes medidas, de las cuales se beneficiará la población de iztapalapa. Conócelas aquí:  url",POS
El deporte y la cultura son ejes de la transformación de iztapalapa y ahora están al alcance de todas y todos en las utopí as. Así construimos la paz en nuestra gran demarcación.,POS
"Para cualquier emergencia o reporte, llama a la Base Esparta de protección civil al 55 5445-1178 o 55 6417-5128 o a la @usuario 55 5445-111.  url",NEU
"Continuaremos con este importante trabajo preventivo ante la época de calor que se aproxima, hago un llamado a la población a contribuir a estas acciones evitando encender fuegos o arrojar colillas o cerillos, así como tirar basura o vidrios que generen el efecto lupa.  url",NEU
"Cabe resaltar que, gracias al Plan para la Mitigación de Incendios Forestales implementado por la @usuario, no ha habido un incendio en dicha Área Natural Protegida anp durante 2022, y sólo se han atendido 5 conatos de incendio, con superficies menores a 600 m².  url",NEU
"En 19 días se han desmalezado en total 93 hectáreas en el cerro de la estrella, labores donde han participado 890 personas en total: 770 trabajadores de todas las áreas y de las 13 direcciones territoriales de la @usuario, así como 120 voluntarios.  url",NEU
"Supervisé las labores de limpieza y desmalezamiento que, como cada año, lleva a cabo la @usuario a fin de prevenir incendios en el cerro de la estrella, el área natural más emblemática e importante de iztapalapa, con gran importancia medioambiental para toda la Cd México.  url",POS
"Así, la población podrá seguir la 179 representación desde casa y evitar aglomeraciones.  Agradezco la comprensión y apoyo del pueblo de iztapalapa, confio en la responsabilidad de todos para realizar esta Representación tan importante para los ocho barrios de iztapalapa.  url",NEU
"Es importante informar que, al igual que en 2020 y 2021, contaremos con el apoyo de los medios públicos de información, por lo que los actos de la 179 representación de semana santa en iztapalapa se transmitirán en tiempo real desde el domingo de ramos, por TV e Internet .  url",NEU
"Esto no significa que no haya riesgos, pero si todos cumplimos con las medidas de seguridad sanitarias como uso de gel y cubrebocas, cuidamos la sana distancia y evitamos las aglomeraciones, reduciremos el riesgo de contagios.  semana santa en iztapalapa2022 179 representación",POS
"Ese día se realizaran las actividades en la macroplaza y en las calles de los ocho barrios, como se hacía antes de la pandemia. Incluida la crucifixión en el Predio de la Pasión del cerro de la estrella.  url",NEU
"De esta forma, en la 179 representación de la semana santa en iztapalapa2022 no se realizará la tradicional procesion del domingo de ramos ni la del jueves santo. Sin embargo, hemos considerado viable llevar a cabo las actividades que históricamente se realizan en viernes santo.  url",NEU
"Gracias a la voluntad del @usuario y al apoyo responsable de la comunidad de los ocho barrios de iztapalapa, evitamos aglomeraciones y una posible explosión de contagios. Preservamos la salud y también la tradición.  url",POS
"Esto representa un paso hacia adelante respecto a las dos ediciones anteriores, luego de que en 2020 y 2021, ante la fuerte ola de contagios por la pandemia de covid19, nos vimos obligados a realizar una representación de manera confinada y sin público.  url",NEG
"Asumimos que, pese a que la ciudad se encuentra en semáforo verde, aún existen contagios y las aglomeraciones pueden dar lugar a una nueva ola de casos de covid19, tanto en iztapalapa como en la ciudad. Por eso hemos tomado la decisión de que se lleve a cabo de manera mixta.  url",NEG
"Hoy informamos sobre la forma en que se llevará a cabo la 179 representación de semana santa en iztapalapa2022, tras haber sostenido varias mesas de trabajo con el @usuario y considerando que las condiciones para realizarla han cambiado respecto a los dos años anteriores.  url",NEU
"en vivo: ¡Buenas noticias para el pueblo de iztapalapa! Junto con los representantes del @usuario, anunciamos el formato bajo el cual se realizará la 179 representación de la semana santa en iztapalapa2022.   url  url",POS
"¡feliz jueves! Comparto con ustedes esta hermosa postal que me hacen llegar: las garzas regresan a iztapalapa, al lago de la utopí aolini, espejo de agua que nos recuerda nuestro pasado lacustre. Maravillosa imagen que nos regala la naturaleza.  emoji cara sonriendo con ojos de corazón emoji   url",POS
Continúa atendiendo las medidas preventivas y usa siempre cubrebocas al salir de casa o entrar en contacto con otras personas.  no bajes la guardia  url,NEU
La gente sólo mira el resultado final por eso envidia,NEG
No mms  emoji cara sonriente con lágrima emoji   url,NEG
Señoras con sobrepoblación  url,NEG
Los lentes/ mi cara  url,NEU
Alguien más tiene dos cuartos pa ser camaradas  emoji cara con ojos cerrados y lengua fuera emoji,NEU
"Yo aquí,tú allá sin mi",NEG
Mi alegría es mía y nada más,POS
Que suerte tuve aquella tardeee  url,POS
Las cosas extraordinarias se llaman milagros,POS
Mi corazón te quiere a ti porque tú lo haces suspirar,POS
@usuario El Foca burro  emoji cara sonriente con lágrima emoji,NEG
Soy muchas personas a la vez,NEG
@usuario  emoji manos aplaudiendo emoji,POS
@usuario  url,NEU
@usuario  url,NEU
Hay personas que quieren hacerte sentir como se sienten se llaman tóxicas,NEG
Mejor que perdonar es no ofenderse  emoji bebida caliente emoji  emoji sol emoji,NEU
@usuario Te voy a meter otra cosa  emoji cara sonrojada emoji,NEU
@usuario Si está confundido entonces no lo quiero ./.,NEG
Que molesto que te marquen sin avisar  emoji cara de desaprobación emoji,NEG
Llega un punto donde sabes que ya llegaste sin llegar,NEG
Mi pasado no tiene arreglo,NEG
Favor de seguirnos y contactarnos  a través de nuestras cuentas oficiales:   url   url  url,NEU
"@usuario @usuario Estamos para servirte, como podemos ayudarte?",NEU
Gracias por la confianza @usuario  amanacers aifa primervuelo aifa  url,POS
Sean bienvenidos!!!   url,POS
Entrega/Recepción.  url,NEU
"""Nuestras vidas empiezan a terminar el día que guardamos silencio sobre las cosas que importan"".  MLK Jr.",NEG
Invitadísimos emoji sol emoji   url,NEU
@usuario Eres un mentiroso de Coyoacán que está más lejos y marcando a Zumpango que está más lejos me marca un poco más de Mil pesos.  url,NEG
emoji manos levantadas celebrando emoji  emoji manos levantadas celebrando emoji  @usuario  emoji manos en oración emoji  emoji manos en oración emoji   url,NEU
@usuario Por fin ya llegaron aqui para quedarse  emoji fuego emoji,NEU
NFT new nftprofile pic de Dragon_Rojo_666  url,NEU
"Eugenio Derbez genera empleos reales, sí ha generado un peso en su vida (varios) y sí conoce lo que es el trabajo. Además, paga impuestos.",POS
"No se pierdan este hilazo donde se describe la [posible] corrupción en la construcción del AIFA, la ""obra del pueblo"".",NEG
¿Cientos de ciudadanos que trabajan para él o fueron acarreados a cambio de dinero/despensas?,NEG
Un evento más con acarreados.   url,NEG
"Para quienes sí se creen el cuento de que el AIFA concluyó ""en tiempo récord"".",NEU
Son muy estúpidas las comparaciones de tiempos de construcción entre el AIFA y cualquier aeropuerto en Asia o Europa. Es como si se comparara la construcción de un edificio de 4 pisos con cualquiera de los del corredor financiero de reforma.  url,NEG
"Habilitas la planta baja a un departamento muestra, invitas a todos tus cuates para que te aplaudan, prestas el espacio para que vivan un par de acarreados y armas un súper evento de inauguración mientras presumes tiempo récord.  url",NEG
"¿Te sentirías seguro si te dicen que el edificio donde vives se construyó en tiempo record de 4 meses cuando normalmente debían tardar 2 años?   Tu argumento se parece al de celebrar como un ""logro"" el aumento en las remesas.",NEG
"La primera imagen es lo que prometieron, la segunda, lo que entregaron.   Visto de otra manera, con todo el poder del ejército, recursos y contratos sin licitar, esto es lo que pudieron hacer en 3 años  url",NEG
"La ""obra del pueblo"" fue desarrollada en parte por empresas como IUSA, dirigida por Raúl Salinas de Gortari, al otorgársele sin licitación un contrato de 715 millones, revela ⁦@usuario⁩.  Ya entendí, Salinas es pueblo.  url",NEG
Tampoco hace falta decir mentiras para destacar el fracaso que será el elefante blanco que estrenamos mañana.,NEG
𝒽𝑜𝓎  𝓂𝑒  𝓁𝑒𝓋𝒶𝓃𝓉𝑒  𝓂𝓊𝓎  𝓉𝑒𝓂𝓅𝓇𝒶𝓃𝑜 𝒿𝒶𝒿𝒶   emoji cara sonriendo con estrellas emoji  emoji cara de empollón emoji   url,NEU
